TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,54344,44,54,54D,543,0,MANGONVILLE,Mangonville,Mangonville,5410,
COM,54345,44,54,54D,543,0,MANONCOURT EN VERMOIS,Manoncourt-en-Vermois,Manoncourt-en-Vermois,5405,
COM,54346,44,54,54D,544,0,MANONCOURT EN WOEVRE,Manoncourt-en-Woëvre,Manoncourt-en-Woëvre,5416,
COM,54348,44,54,54D,544,0,MANONVILLE,Manonville,Manonville,5416,
COM,54349,44,54,54D,542,0,MANONVILLER,Manonviller,Manonviller,5401,
COM,54350,44,54,54D,542,0,MARAINVILLER,Marainviller,Marainviller,5401,
COM,54351,44,54,54D,543,0,MARBACHE,Marbache,Marbache,5421,
COM,54352,44,54,54D,543,0,MARON,Maron,Maron,5415,
COM,54353,44,54,54D,541,0,MARS LA TOUR,Mars-la-Tour,Mars-la-Tour,5404,
COM,54354,44,54,54D,543,0,MARTHEMONT,Marthemont,Marthemont,5410,
COM,54355,44,54,54D,544,0,MARTINCOURT,Martincourt,Martincourt,5416,
COM,54356,44,54,54D,542,0,MATTEXEY,Mattexey,Mattexey,5409,
COM,54357,44,54,54D,543,0,MAXEVILLE,Maxéville,Maxéville,5421,
COM,54358,44,54,54D,543,0,MAZERULLES,Mazerulles,Mazerulles,5403,
COM,54359,44,54,54D,542,0,MEHONCOURT,Méhoncourt,Méhoncourt,5409,
COM,54360,44,54,54D,544,0,MENIL LA TOUR,Ménil-la-Tour,Ménil-la-Tour,5416,
COM,54362,44,54,54D,541,0,MERCY LE BAS,Mercy-le-Bas,Mercy-le-Bas,5417,
COM,54363,44,54,54D,541,0,MERCY LE HAUT,Mercy-le-Haut,Mercy-le-Haut,5417,
COM,54364,44,54,54D,543,0,MEREVILLE,Méréville,Méréville,5415,
COM,54365,44,54,54D,542,0,MERVILLER,Merviller,Merviller,5401,
COM,54366,44,54,54D,543,0,MESSEIN,Messein,Messein,5415,
COM,54367,44,54,54D,541,0,MEXY,Mexy,Mexy,5407,
COM,54368,44,54,54D,542,0,MIGNEVILLE,Mignéville,Mignéville,5401,
COM,54369,44,54,54D,543,0,MILLERY,Millery,Millery,5402,
COM,54370,44,54,54D,544,0,MINORVILLE,Minorville,Minorville,5416,
COM,54371,44,54,54D,541,0,MOINEVILLE,Moineville,Moineville,5404,
COM,54372,44,54,54D,543,0,MOIVRONS,Moivrons,Moivrons,5402,
COM,54373,44,54,54D,542,0,MONCEL LES LUNEVILLE,Moncel-lès-Lunéville,Moncel-lès-Lunéville,5409,
COM,54374,44,54,54D,543,0,MONCEL SUR SEILLE,Moncel-sur-Seille,Moncel-sur-Seille,5403,
COM,54375,44,54,54D,543,0,MONTAUVILLE,Montauville,Montauville,5418,
COM,54376,44,54,54D,543,0,MONTENOY,Montenoy,Montenoy,5402,
COM,54377,44,54,54D,542,0,MONTIGNY,Montigny,Montigny,5401,
COM,54378,44,54,54D,541,0,MONTIGNY SUR CHIERS,Montigny-sur-Chiers,Montigny-sur-Chiers,5411,
COM,54379,44,54,54D,544,0,MONT L ETROIT,Mont-l'Étroit,Mont-l'Étroit,5410,
COM,54380,44,54,54D,544,0,MONT LE VIGNOBLE,Mont-le-Vignoble,Mont-le-Vignoble,5410,
COM,54381,44,54,54D,542,0,MONTREUX,Montreux,Montreux,5401,
COM,54382,44,54,54D,541,0,MONT SAINT MARTIN,Mont-Saint-Martin,Mont-Saint-Martin,5411,
COM,54383,44,54,54D,542,0,MONT SUR MEURTHE,Mont-sur-Meurthe,Mont-sur-Meurthe,5409,
COM,54385,44,54,54D,541,0,MORFONTAINE,Morfontaine,Morfontaine,5423,
COM,54386,44,54,54D,542,0,MORIVILLER,Moriviller,Moriviller,5409,
COM,54387,44,54,54D,543,0,MORVILLE SUR SEILLE,Morville-sur-Seille,Morville-sur-Seille,5402,
COM,54388,44,54,54D,542,0,MOUACOURT,Mouacourt,Mouacourt,5401,
COM,54389,44,54,54D,541,0,MOUAVILLE,Mouaville,Mouaville,5417,
COM,54390,44,54,54D,543,0,MOUSSON,Mousson,Mousson,5418,
COM,54391,44,54,54D,541,0,MOUTIERS,Moutiers,Moutiers,5404,
COM,54392,44,54,54D,544,0,MOUTROT,Moutrot,Moutrot,5410,
COM,54393,44,54,54D,542,0,MOYEN,Moyen,Moyen,5409,
COM,54394,44,54,54D,541,0,MURVILLE,Murville,Murville,5417,
COM,54395,44,54,54D,543,0,NANCY,Nancy,Nancy,5499,
COM,54396,44,54,54D,542,0,NEUFMAISONS,Neufmaisons,Neufmaisons,5401,
COM,54397,44,54,54D,543,0,NEUVES MAISONS,Neuves-Maisons,Neuves-Maisons,5415,
COM,54398,44,54,54D,542,0,NEUVILLER LES BADONVILLER,Neuviller-lès-Badonviller,Neuviller-lès-Badonviller,5401,
COM,54399,44,54,54D,543,0,NEUVILLER SUR MOSELLE,Neuviller-sur-Moselle,Neuviller-sur-Moselle,5410,
COM,54400,44,54,54D,543,0,NOMENY,Nomeny,Nomeny,5402,
COM,54401,44,54,54D,542,0,NONHIGNY,Nonhigny,Nonhigny,5401,
COM,54402,44,54,54D,541,0,NORROY LE SEC,Norroy-le-Sec,Norroy-le-Sec,5417,
COM,54403,44,54,54D,543,0,NORROY LES PONT A MOUSSON,Norroy-lès-Pont-à-Mousson,Norroy-lès-Pont-à-Mousson,5418,
